date,production_value_no_opec
2021-10-12,47.929105173
2021-10-13,47.929105173
2021-10-14,47.929105173
2021-10-15,47.929105173
2021-10-16,47.929105173
2021-10-17,47.929105173
2021-10-18,47.929105173
2021-10-19,47.929105173
2021-10-20,47.929105173
2021-10-21,47.929105173
2021-10-22,47.929105173
2021-10-23,47.929105173
2021-10-24,47.929105173
2021-10-25,47.929105173
2021-10-26,47.929105173
2021-10-27,47.929105173
2021-10-28,47.929105173
2021-10-29,47.929105173
2021-10-30,47.929105173
2021-10-31,47.929105173
2021-11-01,48.34369465
2021-11-02,48.34369465
2021-11-03,48.34369465
2021-11-04,48.34369465
2021-11-05,48.34369465
2021-11-06,48.34369465
2021-11-07,48.34369465
2021-11-08,48.34369465
2021-11-09,48.34369465
2021-11-10,48.34369465
2021-11-11,48.34369465
2021-11-12,48.34369465
2021-11-13,48.34369465
2021-11-14,48.34369465
2021-11-15,48.34369465
2021-11-16,48.34369465
2021-11-17,48.34369465
2021-11-18,48.34369465
2021-11-19,48.34369465
2021-11-20,48.34369465
2021-11-21,48.34369465
2021-11-22,48.34369465
2021-11-23,48.34369465
2021-11-24,48.34369465
2021-11-25,48.34369465
2021-11-26,48.34369465
2021-11-27,48.34369465
2021-11-28,48.34369465
2021-11-29,48.34369465
2021-11-30,48.34369465
2021-12-01,47.854056192
2021-12-02,47.854056192
2021-12-03,47.854056192
2021-12-04,47.854056192
2021-12-05,47.854056192
2021-12-06,47.854056192
2021-12-07,47.854056192
2021-12-08,47.854056192
2021-12-09,47.854056192
2021-12-10,47.854056192
2021-12-11,47.854056192
2021-12-12,47.854056192
2021-12-13,47.854056192
2021-12-14,47.854056192
2021-12-15,47.854056192
2021-12-16,47.854056192
2021-12-17,47.854056192
2021-12-18,47.854056192
2021-12-19,47.854056192
2021-12-20,47.854056192
2021-12-21,47.854056192
2021-12-22,47.854056192
2021-12-23,47.854056192
2021-12-24,47.854056192
2021-12-25,47.854056192
2021-12-26,47.854056192
2021-12-27,47.854056192
2021-12-28,47.854056192
2021-12-29,47.854056192
2021-12-30,47.854056192
2021-12-31,47.854056192
2022-01-01,47.895542699
2022-01-02,47.895542699
2022-01-03,47.895542699
2022-01-04,47.895542699
2022-01-05,47.895542699
2022-01-06,47.895542699
2022-01-07,47.895542699
2022-01-08,47.895542699
2022-01-09,47.895542699
2022-01-10,47.895542699
2022-01-11,47.895542699
2022-01-12,47.895542699
2022-01-13,47.895542699
2022-01-14,47.895542699
2022-01-15,47.895542699
2022-01-16,47.895542699
2022-01-17,47.895542699
2022-01-18,47.895542699
2022-01-19,47.895542699
2022-01-20,47.895542699
2022-01-21,47.895542699
2022-01-22,47.895542699
2022-01-23,47.895542699
2022-01-24,47.895542699
2022-01-25,47.895542699
2022-01-26,47.895542699
2022-01-27,47.895542699
2022-01-28,47.895542699
2022-01-29,47.895542699
2022-01-30,47.895542699
2022-01-31,47.895542699
2022-02-01,48.298018506
2022-02-02,48.298018506
2022-02-03,48.298018506
2022-02-04,48.298018506
2022-02-05,48.298018506
2022-02-06,48.298018506
2022-02-07,48.298018506
2022-02-08,48.298018506
2022-02-09,48.298018506
2022-02-10,48.298018506
2022-02-11,48.298018506
2022-02-12,48.298018506
2022-02-13,48.298018506
2022-02-14,48.298018506
2022-02-15,48.298018506
2022-02-16,48.298018506
2022-02-17,48.298018506
2022-02-18,48.298018506
2022-02-19,48.298018506
2022-02-20,48.298018506
2022-02-21,48.298018506
2022-02-22,48.298018506
2022-02-23,48.298018506
2022-02-24,48.298018506
2022-02-25,48.298018506
2022-02-26,48.298018506
2022-02-27,48.298018506
2022-02-28,48.298018506
2022-03-01,48.566927853
2022-03-02,48.566927853
2022-03-03,48.566927853
2022-03-04,48.566927853
2022-03-05,48.566927853
2022-03-06,48.566927853
2022-03-07,48.566927853
2022-03-08,48.566927853
2022-03-09,48.566927853
2022-03-10,48.566927853
2022-03-11,48.566927853
2022-03-12,48.566927853
2022-03-13,48.566927853
2022-03-14,48.566927853
2022-03-15,48.566927853
2022-03-16,48.566927853
2022-03-17,48.566927853
2022-03-18,48.566927853
2022-03-19,48.566927853
2022-03-20,48.566927853
2022-03-21,48.566927853
2022-03-22,48.566927853
2022-03-23,48.566927853
2022-03-24,48.566927853
2022-03-25,48.566927853
2022-03-26,48.566927853
2022-03-27,48.566927853
2022-03-28,48.566927853
2022-03-29,48.566927853
2022-03-30,48.566927853
2022-03-31,48.566927853
2022-04-01,47.496155362
2022-04-02,47.496155362
2022-04-03,47.496155362
2022-04-04,47.496155362
2022-04-05,47.496155362
2022-04-06,47.496155362
2022-04-07,47.496155362
2022-04-08,47.496155362
2022-04-09,47.496155362
2022-04-10,47.496155362
2022-04-11,47.496155362
2022-04-12,47.496155362
2022-04-13,47.496155362
2022-04-14,47.496155362
2022-04-15,47.496155362
2022-04-16,47.496155362
2022-04-17,47.496155362
2022-04-18,47.496155362
2022-04-19,47.496155362
2022-04-20,47.496155362
2022-04-21,47.496155362
2022-04-22,47.496155362
2022-04-23,47.496155362
2022-04-24,47.496155362
2022-04-25,47.496155362
2022-04-26,47.496155362
2022-04-27,47.496155362
2022-04-28,47.496155362
2022-04-29,47.496155362
2022-04-30,47.496155362
2022-05-01,47.294125675
2022-05-02,47.294125675
2022-05-03,47.294125675
2022-05-04,47.294125675
2022-05-05,47.294125675
2022-05-06,47.294125675
2022-05-07,47.294125675
2022-05-08,47.294125675
2022-05-09,47.294125675
2022-05-10,47.294125675
2022-05-11,47.294125675
2022-05-12,47.294125675
2022-05-13,47.294125675
2022-05-14,47.294125675
2022-05-15,47.294125675
2022-05-16,47.294125675
2022-05-17,47.294125675
2022-05-18,47.294125675
2022-05-19,47.294125675
2022-05-20,47.294125675
2022-05-21,47.294125675
2022-05-22,47.294125675
2022-05-23,47.294125675
2022-05-24,47.294125675
2022-05-25,47.294125675
2022-05-26,47.294125675
2022-05-27,47.294125675
2022-05-28,47.294125675
2022-05-29,47.294125675
2022-05-30,47.294125675
